price,qty,timestamp,bs,ml,bucket
571.910000,0.413473,1527825618.970200,b,m,201806010400
571.910000,5.000000,1527825618.977800,b,m,201806010400
571.910000,5.000000,1527825618.980700,b,m,201806010400
572.300000,0.160000,1527825618.984100,b,m,201806010400
572.520000,0.034000,1527825618.986500,b,m,201806010400
572.560000,0.025000,1527825618.989200,b,m,201806010400
572.580000,0.027000,1527825618.992300,b,m,201806010400
572.630000,0.028000,1527825618.995600,b,m,201806010400
572.640000,0.035000,1527825618.998200,b,m,201806010400
572.640000,17.464000,1527825619.000900,b,m,201806010400
572.650000,0.032000,1527825619.003700,b,m,201806010400
572.660000,0.032000,1527825619.006800,b,m,201806010400
572.660000,1.749527,1527825619.009600,b,m,201806010400
571.720000,0.216000,1527825626.768400,s,l,201806010400
571.720000,0.409214,1527825629.831500,s,l,201806010400
571.510000,0.175000,1527825630.677500,s,l,201806010400
571.510000,4.825000,1527825630.981100,s,l,201806010400
571.500000,0.174978,1527825630.984900,s,l,201806010400
571.280000,4.080022,1527825630.987600,s,l,201806010400
571.280000,9.080000,1527825631.879300,s,l,201806010400
571.280000,4.290978,1527825632.584500,s,l,201806010400
571.020000,2.990000,1527825632.588400,s,l,201806010400
571.000000,11.169000,1527825632.591900,s,l,201806010400
571.000000,6.416022,1527825632.594600,s,l,201806010400
571.000000,7.280978,1527825639.977200,s,l,201806010400
570.510000,10.000000,1527825643.678900,s,m,201806010400
570.510000,6.100000,1527825645.378900,s,l,201806010400
570.510000,58.645286,1527825645.480800,s,l,201806010400
570.030000,0.699767,1527825680.994200,s,l,201806010401
569.990000,0.500000,1527825687.836500,b,l,201806010401
569.990000,1.001310,1527825687.839500,b,l,201806010401
569.990000,0.011506,1527825687.841500,b,l,201806010401
569.990000,0.309163,1527825687.999900,b,l,201806010401
569.990000,0.100261,1527825695.804900,b,m,201806010401
569.520000,0.261903,1527825739.499200,s,l,201806010402
569.500000,4.738097,1527825739.508300,s,l,201806010402
569.520000,0.195000,1527825740.637500,b,l,201806010402
569.500000,0.261903,1527825741.197100,s,l,201806010402
569.400000,0.137118,1527825741.490000,s,l,201806010402
568.630000,0.037952,1527825748.492900,b,l,201806010402
568.550000,0.816671,1527825748.503500,s,m,201806010402
568.540000,3.272650,1527825748.508100,s,m,201806010402
568.260000,34.083000,1527825748.513400,s,m,201806010402
568.000000,1.827679,1527825748.516200,s,m,201806010402
568.640000,5.000000,1527825760.444800,b,l,201806010402
568.150000,5.000000,1527825781.508800,s,l,201806010403
568.010000,5.000000,1527825781.526200,s,l,201806010403
568.010000,1.006975,1527825781.529400,s,l,201806010403
568.000000,42.955321,1527825781.532200,s,l,201806010403
567.990000,3.679331,1527825783.514800,b,l,201806010403
567.990000,0.320669,1527825783.517400,b,l,201806010403
568.000000,8.210000,1527825783.519800,b,l,201806010403
568.000000,1.196000,1527825783.553200,b,l,201806010403
568.000000,3.140000,1527825788.197700,b,l,201806010403
568.000000,1.631000,1527825789.940100,b,l,201806010403
568.000000,1.191000,1527825790.211600,b,l,201806010403
568.000000,1.191000,1527825791.050300,b,l,201806010403
568.000000,1.312000,1527825792.473600,b,l,201806010403
567.990000,0.135307,1527825792.528900,b,l,201806010403
